country,platform,category_url,month_latest,month_prev,spu_count_prev,spu_count_latest,spu_ratio_vs_prev,status
SG,SHP,https://shopee.sg/Canned-Dried-Food-cat.11011871.11011936.11011942,2025-12,2025-11,300.0,440,146.67%,normal
SG,SHP,https://shopee.sg/Cat-Food-Treats-cat.11012453.11027603.11027606,2025-12,2025-11,300.0,466,155.33%,normal
SG,SHP,https://shopee.sg/Chocolate-cat.11011871.11011998.11012005,2025-12,2025-11,300.0,335,111.67%,normal
SG,SHP,https://shopee.sg/Coffee-Machines-cat.11027421.11027457.11027468,2025-12,2025-11,359.0,405,112.81%,normal
SG,SHP,https://shopee.sg/Coffee-cat.11011871.11011889.11011900,2025-12,2025-11,300.0,420,140.0%,normal
SG,SHP,https://shopee.sg/Dairy-Eggs-Chilled-Food-cat.11011871.11011925,2025-12,2025-11,300.0,371,123.67%,normal
SG,SHP,https://shopee.sg/Disposable-Diapers-cat.11011538.11011614.11011616,2025-12,2025-11,359.0,441,122.84%,normal
SG,SHP,https://shopee.sg/Dog-Food-Treats-cat.11012453.11027603.11027605,2025-12,2025-11,300.0,472,157.33%,normal
SG,SHP,https://shopee.sg/Frozen-Food-cat.11011871.11011956,2025-12,2025-11,358.0,434,121.23%,normal
SG,SHP,https://shopee.sg/Health-Wellness-cat.11027491,2025-12,2025-11,300.0,302,100.67%,normal
SG,SHP,https://shopee.sg/Infant-Milk-Formula-cat.11011538.11059285,2025-12,2025-11,300.0,334,111.33%,normal
SG,SHP,https://shopee.sg/Instant-Drink-cat.11011871.11011889.11011897,2025-12,2025-11,300.0,396,132.0%,normal
SG,SHP,https://shopee.sg/Maternal-Milk-cat.11011538.11011731.11011737,2025-12,2025-11,145.0,133,91.72%,normal
SG,SHP,https://shopee.sg/Milk-Formula-(1-year-)-cat.11011538.11011731,2025-12,2025-11,300.0,431,143.67%,normal
SG,SHP,https://shopee.sg/Pet-Cleaning-Bath-Needs-cat.11012453.11027618.11027620,2025-12,2025-11,300.0,430,143.33%,normal
SG,SHP,https://shopee.sg/Sanitary-Pads-Pantyliners-cat.11012301.11012345.11012348,2025-12,2025-11,300.0,445,148.33%,normal
SG,SHP,https://shopee.sg/Yogurt-Cultured-Milk-cat.11011871.11011925.11011928,2025-12,2025-11,257.0,146,56.81%,abnormal-drop
