country,platform,month_latest,month_prev,seller_used_id,seller_name,abnormal_type,computation_label_prev,computation_label_latest,has_S1_prev,has_S1_latest,has_S3_prev,has_S3_latest,historical_quantity_prev,historical_quantity_latest,historical_review_prev,historical_review_latest,final_asp_prev,final_asp_latest
PH,LAZ,2025-11,2025-10,PH.LAZ.501097232450,,source-switch,S2,S5,False,False,False,False,453.0,455.0,166.0,166.0,68.08,68.08
PH,LAZ,2025-11,2025-10,PH.LAZ.501122064901,,spike-out-trend,S5,S5,False,False,False,False,1860.0,2143.0,478.0,501.0,42.0,64.035
PH,LAZ,2025-11,2025-10,PH.LAZ.501122224701,,spike-out-trend,S5,S5,False,False,False,False,131.0,369.0,32.0,129.0,174.34,281.1028947368421
PH,LAZ,2025-11,2025-10,PH.LAZ.501196752708,,spike-out-trend,S4,S4,False,False,False,False,71.0,706.0,15.0,163.0,776.865,333.6033333333333
PH,LAZ,2025-11,2025-10,PH.LAZ.501466512891,,spike-out-trend,S5,S5,False,False,False,False,340.0,609.0,85.0,138.0,259.0,308.6
PH,LAZ,2025-11,2025-10,PH.LAZ.501560224806,,spike-out-trend,S5,S5,False,False,False,False,113.0,149.0,30.0,42.0,125.13,129.0
PH,LAZ,2025-11,2025-10,PH.LAZ.501656240429,,source-switch,S2,S5,False,False,False,False,4.0,6.0,22.0,132.0,244.52,231.97
PH,LAZ,2025-11,2025-10,PH.LAZ.501703120111,,spike-out-trend,S5,S5,False,False,False,False,0.0,0.0,47.0,286.0,1252.208,1720.8266666666666
PH,LAZ,2025-11,2025-10,PH.LAZ.501716080700,,spike-out-trend,S5,S5,False,False,False,False,4.0,5.0,200.0,202.0,789.045,920.035
PH,LAZ,2025-11,2025-10,PH.LAZ.501721104287,,spike-out-trend,S5,S5,False,False,False,False,0.0,0.0,19.0,22.0,850.89,1404.06
PH,LAZ,2025-11,2025-10,PH.LAZ.501721184184,,spike-out-trend,S5,S5,False,False,False,False,0.0,0.0,25.0,383.0,603.17,557.5223529411765
PH,LAZ,2025-11,2025-10,PH.LAZ.501722576195,,spike-out-trend,S5,S5,False,False,False,False,13.0,14.0,82.0,88.0,650.99,1075.41
