country,platform,seller_used_id,seller_url,seller_name
ID,SHP,ID.SHP.551926886,https://shopee.id/shop/551926886,
ID,SHP,ID.SHP.309940894,https://shopee.id/shop/309940894,
MY,SHP,MY.SHP.1057774029,https://shopee.com.my/shop/,
MY,SHP,MY.SHP.59165532,https://shopee.com.my/shop/,
MY,SHP,MY.SHP.35464026,https://shopee.com.my/shop/,
MY,SHP,MY.SHP.35600009,https://shopee.com.my/shop/,
MY,SHP,MY.SHP.133527673,https://shopee.com.my/shop/,
MY,SHP,MY.SHP.28619373,https://shopee.com.my/shop/,
MY,SHP,MY.SHP.466660353,https://shopee.com.my/shop/,
MY,SHP,MY.SHP.238117291,https://shopee.com.my/shop/,
TH,SHP,TH.SHP.61460869,https://shopee.co.th/shop/61460869,
TH,SHP,TH.SHP.250722446,https://shopee.co.th/shop/250722446,
TH,SHP,TH.SHP.126219157,https://shopee.co.th/shop/126219157,
TH,SHP,TH.SHP.203243736,https://shopee.co.th/shop/203243736,
TH,SHP,TH.SHP.497937202,https://shopee.co.th/shop/497937202,
TH,SHP,TH.SHP.404449729,https://shopee.co.th/shop/404449729,
TH,SHP,TH.SHP.915114849,https://shopee.co.th/shop/915114849,
TH,SHP,TH.SHP.137241569,https://shopee.co.th/shop/137241569,
ID,SHP,ID.SHP.1213262148,https://shopee.id/shop/1213262148,
PH,SHP,PH.SHP.55712198,https://shopee.ph/shop/,
PH,SHP,PH.SHP.79033511,https://shopee.ph/shop/,
PH,SHP,PH.SHP.408088273,https://shopee.ph/shop/,
PH,SHP,PH.SHP.1536788328,https://shopee.ph/shop/,
PH,SHP,PH.SHP.326136687,https://shopee.ph/shop/,
PH,SHP,PH.SHP.105076171,https://shopee.ph/shop/,
TH,SHP,TH.SHP.105072056,https://shopee.co.th/shop/105072056,
TH,SHP,TH.SHP.419200790,https://shopee.co.th/shop/419200790,
TH,SHP,TH.SHP.83123187,https://shopee.co.th/shop/83123187,
TH,SHP,TH.SHP.156034482,https://shopee.co.th/shop/156034482,
VN,SHP,VN.SHP.430972539,https://shopee.vn/shop/,
VN,SHP,VN.SHP.454608996,https://shopee.vn/shop/,
VN,SHP,VN.SHP.213989179,https://shopee.vn/shop/,
VN,SHP,VN.SHP.445399670,https://shopee.vn/shop/,
VN,SHP,VN.SHP.119160720,https://shopee.vn/shop/,
VN,SHP,VN.SHP.289646907,https://shopee.vn/shop/,
VN,SHP,VN.SHP.278100765,https://shopee.vn/shop/,
VN,SHP,VN.SHP.14063555,https://shopee.vn/shop/,
VN,SHP,VN.SHP.627332328,https://shopee.vn/shop/,
PH,SHP,PH.SHP.279491877,https://shopee.ph/shop/,
